19/12/2022 11:15:05	Medium	Web Add-In Runtime Logging Session Started			
19/12/2022 11:15:05	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : 638a5c6f-b6b7-4267-852e-3ab5733f78ff, Location : Element Namespace "http://schemas.microsoft.com/office/mailappversionoverrides" : Element Name "VersionOverrides" : xsi:Type "VersionOverridesV1_0", Line=41, CharPosition=4		
19/12/2022 11:15:05	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : 7a774f0c-7a6f-11e0-85ad-07fb4824019b, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "TabletSettings", Line=69, CharPosition=12		
19/12/2022 11:15:05	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : 7a774f0c-7a6f-11e0-85ad-07fb4824019b, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "PhoneSettings", Line=73, CharPosition=12		
19/12/2022 11:15:05	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : a216ceed-7791-4635-a752-5a4ac0a5eb93, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "TabletSettings", Line=68, CharPosition=8		
19/12/2022 11:15:05	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : a216ceed-7791-4635-a752-5a4ac0a5eb93, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "PhoneSettings", Line=71, CharPosition=8		
19/12/2022 11:15:05	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : bc13b9d0-5ba2-446a-956b-c583bdc94d5e, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "TabletSettings", Line=71, CharPosition=12		
19/12/2022 11:15:05	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : bc13b9d0-5ba2-446a-956b-c583bdc94d5e, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "PhoneSettings", Line=75, CharPosition=12		
19/12/2022 11:15:08	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : 7a774f0c-7a6f-11e0-85ad-07fb4824019b, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "TabletSettings", Line=69, CharPosition=12		
19/12/2022 11:15:08	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : 7a774f0c-7a6f-11e0-85ad-07fb4824019b, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "PhoneSettings", Line=73, CharPosition=12		
19/12/2022 11:15:08	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : a216ceed-7791-4635-a752-5a4ac0a5eb93, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "TabletSettings", Line=68, CharPosition=8		
19/12/2022 11:15:08	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : a216ceed-7791-4635-a752-5a4ac0a5eb93, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "PhoneSettings", Line=71, CharPosition=8		
19/12/2022 11:15:08	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : bc13b9d0-5ba2-446a-956b-c583bdc94d5e, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "TabletSettings", Line=71, CharPosition=12		
